clubName,adminUsername,adminPassword,adminName
Robotics Club,club_admin,12345,Omar Nasser
Dal Club,Moh,12345,Moh
Photography Club,club_admin_2,12345,Maya Mansour
Debate Club,club_admin_3,12345,Fadi Freihat
Coding & AI Club,club_admin_4,12345,Reem Zayed
Music Society,club_admin_5,12345,Hassan Btoush
Entrepreneurship Club,club_admin_6,12345,Salma Odeh
Environmental Club,club_admin_7,12345,Bassel Aweidah
Drama & Theatre Club,club_admin_8,12345,Aya Farouk
Chess Club,club_admin_9,12345,Marwan Hijazi
Community Volunteering Club,club_admin_10,12345,Hala Khalil
